sample.date,exp.plate,t.exp,time.hr,trt,bio.rep,veg.ml,spore.ml,cell.ml
MON21,plt1,T00,0,BUFFER,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,BUFFER,br2,3201000,1,3201001
MON21,plt1,T00,0,BUFFER,br3,3135833.3333333335,1,3135834.3333333335
MON21,plt1,T00,0,DSM,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,DSM,br2,3201000,1,3201001
MON21,plt1,T00,0,DSM,br3,3135833.3333333335,1,3135834.3333333335
MON21,plt1,T00,0,LYSATE,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,LYSATE,br2,3201000,1,3201001
MON21,plt1,T00,0,LYSATE,br3,3135833.3333333335,1,3135834.3333333335
MON21,plt1,T00,0,SPENT,br1,3551333.333333333,1,3551334.333333333
MON21,plt1,T00,0,SPENT,br2,3201000,1,3201001
MON21,plt1,T00,0,SPENT,br3,3135833.3333333335,1,3135834.3333333335
MON23,plt1,T02,2,BUFFER,br1,53324343.624193124,1,53324344.624193124
MON23,plt1,T02,2,BUFFER,br2,47357927.939453706,1,47357928.939453706
MON23,plt1,T02,2,BUFFER,br3,60661575.73878249,1,60661576.73878249
MON23,plt1,T02,2,DSM,br1,52738564.86090877,1,52738565.86090877
MON23,plt1,T02,2,DSM,br2,53093827.31064549,1,53093828.31064549
MON23,plt1,T02,2,DSM,br3,58947292.537294835,1,58947293.537294835
MON23,plt1,T02,2,LYSATE,br1,51697067.1220576,1,51697068.1220576
MON23,plt1,T02,2,LYSATE,br2,60106778.40066883,1,60106779.40066883
MON23,plt1,T02,2,LYSATE,br3,31066673.073696185,1,31066674.073696185
MON23,plt1,T02,2,SPENT,br1,55012505.76963081,1,55012506.76963081
MON23,plt1,T02,2,SPENT,br2,53002804.46697812,1,53002805.46697812
MON23,plt1,T02,2,SPENT,br3,68280084.64720881,1,68280085.64720881
TUE07,plt1,T10,10,BUFFER,br1,646072712.0969357,1,646072713.0969357
TUE07,plt1,T10,10,BUFFER,br2,278193175.37980294,1,278193176.37980294
TUE07,plt1,T10,10,BUFFER,br3,288345591.7522446,1,288345592.7522446
TUE07,plt1,T10,10,DSM,br1,298464018.8002621,1,298464019.8002621
TUE07,plt1,T10,10,DSM,br2,292413548.4929812,1,292413549.4929812
TUE07,plt1,T10,10,DSM,br3,247569938.54860348,1,247569939.54860348
TUE07,plt1,T10,10,LYSATE,br1,270685819.4718583,1,270685820.4718583
TUE07,plt1,T10,10,LYSATE,br2,130978333.33333334,1,130978334.33333334
TUE07,plt1,T10,10,LYSATE,br3,223663498.9726862,1,223663499.9726862
TUE07,plt1,T10,10,SPENT,br1,330280146.6904113,1,330280147.6904113
TUE07,plt1,T10,10,SPENT,br2,257751280.8530286,1,257751281.8530286
TUE07,plt1,T10,10,SPENT,br3,137858333.33333334,1,137858334.33333334
TUE09,plt1,T12,12,BUFFER,br1,271713562.793863,11911937.604514884,283625500.3983779
TUE09,plt1,T12,12,BUFFER,br2,247835679.20871577,14355540.721832186,262191219.93054795
TUE09,plt1,T12,12,BUFFER,br3,373497289.9080037,70973014.85767192,444470304.7656756
TUE09,plt1,T12,12,DSM,br1,258843309.63063636,9387620.119726487,268230929.75036284
TUE09,plt1,T12,12,DSM,br2,189251175.22999078,6862175.229705173,196113350.45969597
TUE09,plt1,T12,12,DSM,br3,190310704.87071687,13791958.759530697,204102663.63024756
TUE09,plt1,T12,12,LYSATE,br1,168105238.10163283,9458152.255598027,177563390.35723087
TUE09,plt1,T12,12,LYSATE,br2,167212504.66322115,6603154.782799897,173815659.44602105
TUE09,plt1,T12,12,LYSATE,br3,176973331.45469886,14660967.466759901,191634298.92145875
TUE09,plt1,T12,12,SPENT,br1,268476764.8461543,9544495.749962762,278021260.596117
TUE09,plt1,T12,12,SPENT,br2,221008852.9339211,8944546.82818751,229953399.76210862
TUE09,plt1,T12,12,SPENT,br3,246785651.8523384,25494837.95716626,272280489.8095047
TUE09,plt2,T00,0,BUFFER,br1,2916000,1,2916001
TUE09,plt2,T00,0,BUFFER,br2,2488000,1,2488001
TUE09,plt2,T00,0,BUFFER,br3,1848833.3333333335,1,1848834.3333333335
TUE09,plt2,T00,0,DSM,br1,2916000,1,2916001
TUE09,plt2,T00,0,DSM,br2,2488000,1,2488001
TUE09,plt2,T00,0,DSM,br3,1848833.3333333335,1,1848834.3333333335
TUE09,plt2,T00,0,LYSATE,br1,2916000,1,2916001
TUE09,plt2,T00,0,LYSATE,br2,2488000,1,2488001
TUE09,plt2,T00,0,LYSATE,br3,1848833.3333333335,1,1848834.3333333335
TUE09,plt2,T00,0,SPENT,br1,2916000,1,2916001
TUE09,plt2,T00,0,SPENT,br2,2488000,1,2488001
TUE09,plt2,T00,0,SPENT,br3,1848833.3333333335,1,1848834.3333333335
